feature,type,count,mean,std,min,25%,median,75%,max,skewness,kurtosis,num_missing,num_unique,normalization,value_counts
node_type,numeric,11383545,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,0,10000,,
length,numeric,11383545,6.126973056284312,2.7936232166188275,4.5,4.5,4.5,8.0,12.0,1.082934683961804,-0.49178846394256315,0,10000,z-score,
width,numeric,11383545,1.9985421767510003,0.31553213231749816,1.8,1.8,1.8,2.5,2.5,0.6446908568871561,-1.584373699046103,0,10000,,
height,numeric,11383545,1.9571606295976207,0.7284623451215961,1.5,1.5,1.5,3.0,3.2,0.6629496496458817,-1.5356532952241506,0,10000,,
speed,numeric,11383545,12.11071543555458,10.210526930400945,0.0,0.0,13.27847036930986,21.96693821838184,33.33,0.01838970357574265,-1.5034286469764426,0,10000,z-score,
acceleration,numeric,11383545,-0.15070040145678892,1.124751062291838,-8.05605740504964,-0.18576263889392552,0.0,0.22269065119908182,2.6000000000000014,-2.1383039835951934,6.276127258851588,0,10000,,
current_x,numeric,11383545,8824.868435637341,4390.093509781601,-4.8,5004.8,8947.66,11641.380792083266,18004.8,0.08839159666461333,-0.8493283980652651,0,10000,,
current_y,numeric,11383545,-490.3083453580143,2794.680227219136,-6269.76,-2773.1610059595278,10.08307616798956,2495.568098748482,5004.8,-0.3052340622204274,-1.1028591058685568,0,10000,,
current_position,numeric,11383545,958.0184833664422,1348.043858166495,7.993605777301127e-13,265.5379457627168,478.29892237329676,485.15842071726223,6331.85,2.422264122196429,5.504873712187091,0,10000,,
origin_position,numeric,11383545,240.13297709745171,139.23735626123187,1.0093712291505976,115.00723783735391,228.19181954847207,347.35088967971535,484.5962029863209,0.06816864184024575,-1.107552506652261,0,10000,,
origin_x,numeric,11383545,8922.15812263637,5322.396560872861,11.560262133643981,7181.451819548472,9444.46,10947.66,17988.405706653397,0.002523789950017136,-0.13913834715893003,0,10000,,
origin_y,numeric,11383545,92.49114857824578,3445.764872992011,-6253.529449133662,-4763.36,-2763.36,1222.7112391930837,4988.372104835092,0.5049594643732127,-1.120732895608458,0,10000,,
origin_start_sec,numeric,11383545,553817.7838566984,338383.489847101,1.0,1861.0,3841.0,5701.0,1209541.0,0.005186293911184201,-1.157425355370583,0,10000,,
route_length,numeric,11383545,13068.695141900524,3748.7557156144235,476.6,11065.25,13978.85,16481.91,23133.41,-0.5840736975807943,-0.15651580899671913,0,10000,,
route_length_left,numeric,11383545,7604.2322172439235,4529.064608857428,476.6,3392.8,7902.82,11830.45,23133.41,0.23102782131321156,-1.0262289789818897,0,10000,,
destination_position,numeric,11383545,242.54093064545393,139.3706508400299,1.0006134868718353,126.62680588237579,244.2380450356009,345.19273179757,484.5965671356578,0.01686740671147207,-1.0814737316086285,0,10000,,
destination_x,numeric,11383545,8810.913295761937,4853.371086981427,11.416129830593093,2637.026805882376,4694.914880578053,14998.4,17988.49958178945,0.28138857351275104,-1.5638879317528847,0,10000,,
destination_y,numeric,11383545,-747.9876448417467,3546.1799477021623,-6253.4779247844235,628.4395675694248,1998.4,3980.557418493686,4988.503014571509,-1.2755405947887495,1.470916067135728,0,10000,,
id,categorical,11383545,,,,,,,,,,0,208763,,
vehicle_type,categorical,11383545,,,,,,,,,,0,3,,"{'passenger': 8154811, 'truck': 1423696, 'bus': 1805038}"
current_zone,categorical,11383545,,,,,,,,,,0,4,,"{'A': 2232416, 'B': 4037573, 'C': 2127098, 'H': 2986458}"
current_edge,categorical,11383545,,,,,,,,,,0,1294,,
origin_name,categorical,11383545,,,,,,,,,,0,5,,"{'home': 6436721, 'work': 3664233, 'restaurantC': 534732, 'restaurantA': 541708, 'restaurantB': 206151}"
origin_zone,categorical,11383545,,,,,,,,,,0,3,,"{'A': 3544402, 'B': 4433120, 'C': 3406023}"
origin_edge,categorical,11383545,,,,,,,,,,0,920,,
destination_name,categorical,11383545,,,,,,,,,,0,14,,"{'restaurantC': 435824, 'stadium2': 441322, 'park3': 297767, 'restaurantB': 262653, 'friend1': 119738, 'park4': 258240, 'friend2': 235873, 'restaurantA': 440504, 'stadium1': 412482, 'park2': 267123, 'park1': 329784, 'friend3': 229498, 'work': 5349790, 'home': 2302947}"
destination_edge,categorical,11383545,,,,,,,,,,0,920,,
